news_headline,news_article,news_category,full_text,clean_text
Microsoft's Office 365 to get costlier by 20% in its 1st big hike in 10 years,"Microsoft on Thursday announced that it will raise prices by as much as 20% for business subscriptions to its bundle of software called Microsoft 365, formerly known as Office 365. The hike will take effect within six months. These price changes mark ""the first substantive pricing update since we launched Office 365 a decade ago"", the company said.",technology,"Microsoft's Office 365 to get costlier by 20% in its 1st big hike in 10 years. Microsoft on Thursday announced that it will raise prices by as much as 20% for business subscriptions to its bundle of software called Microsoft 365, formerly known as Office 365. The hike will take effect within six months. These price changes mark ""the first substantive pricing update since we launched Office 365 a decade ago"", the company said.",microsoft office get costly st big hike year microsoft thursday announce raise price much business subscription bundle software call microsoft formerly know office hike take effect within six month price change mark first substantive pricing update since launch office decade ago company say
Apple planning multiple product events for September: Report,"Apple is planning to hold multiple product events in September, DigiTimes reported citing sources. The company is expected to launch various devices this year including the upcoming iPhone series, Apple Watches, updated AirPods, revamped iPad mini and the redesigned MacBook Pros. The upcoming iPhones are expected to reportedly feature three new camera and video-recording features.",technology,"Apple planning multiple product events for September: Report. Apple is planning to hold multiple product events in September, DigiTimes reported citing sources. The company is expected to launch various devices this year including the upcoming iPhone series, Apple Watches, updated AirPods, revamped iPad mini and the redesigned MacBook Pros. The upcoming iPhones are expected to reportedly feature three new camera and video-recording features.",apple plan multiple product event september report apple plan hold multiple product event september digitime report cite source company expect launch various device year include upcoming iphone series apple watch update airpod revamp ipad mini redesign macbook pro upcoming iphone expect reportedly feature three new camera video record feature
Apple delays office return from October to January in US: Report,"Apple is delaying its employees' return to corporate offices in the US from October until January at the earliest because of surging COVID-19 cases and new variants, Bloomberg reported. In a memo Apple reportedly said it would confirm the reopening timeline one month before employees are required to return. It also encouraged staff to get vaccinated.",technology,"Apple delays office return from October to January in US: Report. Apple is delaying its employees' return to corporate offices in the US from October until January at the earliest because of surging COVID-19 cases and new variants, Bloomberg reported. In a memo Apple reportedly said it would confirm the reopening timeline one month before employees are required to return. It also encouraged staff to get vaccinated.",apple delay office return october january report apple delay employee return corporate office us october january early surge covid case new variant bloomberg report memo apple reportedly say would confirm reopen timeline one month employee require return also encourage staff get vaccinate
"Russia tells Apple, Google to remove Putin critic Navalny's app","Russian communications watchdog Roskomnadzor has told Google and Apple to remove Russian President Vladimir Putin's critic Alexei Navalny's app from their stores, the agency told Interfax news agency. It said the app is used to promote the activities of organisations recognised as extremist and banned in the Russian Federation. Navalny has reportedly said the app exists ""completely legally"".",technology,"Russia tells Apple, Google to remove Putin critic Navalny's app. Russian communications watchdog Roskomnadzor has told Google and Apple to remove Russian President Vladimir Putin's critic Alexei Navalny's app from their stores, the agency told Interfax news agency. It said the app is used to promote the activities of organisations recognised as extremist and banned in the Russian Federation. Navalny has reportedly said the app exists ""completely legally"".",russia tell apple google remove putin critic navalny app russian communication watchdog roskomnadzor tell google apple remove russian president vladimir putin critic alexei navalny app store agency tell interfax news agency say app use promote activity organisation recognise extremist ban russian federation navalny reportedly say app exist completely legally
Trial run for medicine delivery via drone completed successfully in B'luru,"A  trial run for Beyond Visual Line of Sight (BVLOS) delivery of medicines through drones was successfully completed in Bengaluru on Friday. Two variants of drones were tested in the trial, with the deliveries seeing a 3.5 km distance being covered in 5-7 minutes. The trial was conducted by the Throttle Aerospace Systems and UDAN (Ude Desh ka Aam Naagrik).",technology,"Trial run for medicine delivery via drone completed successfully in B'luru. A  trial run for Beyond Visual Line of Sight (BVLOS) delivery of medicines through drones was successfully completed in Bengaluru on Friday. Two variants of drones were tested in the trial, with the deliveries seeing a 3.5 km distance being covered in 5-7 minutes. The trial was conducted by the Throttle Aerospace Systems and UDAN (Ude Desh ka Aam Naagrik).",trial run medicine delivery via drone complete successfully bluru trial run beyond visual line sight bvlos delivery medicine drone successfully complete bengaluru friday two variant drone test trial delivery see km distance cover minute trial conduct throttle aerospace system udan ude desh ka aam naagrik
Camouflaged Tesla Model 3 cars found being tested in India: Report,"A duo of camouflaged Tesla Model 3 electric cars was spotted being tested in India, media reports said. The cars were spotted on the Mumbai-Pune Expressway this week with Maharashtra registration plates. Earlier, Tesla CEO Elon Musk had said that the firm wants to launch cars in India but India's import duties are the ""highest in the world"".",technology,"Camouflaged Tesla Model 3 cars found being tested in India: Report. A duo of camouflaged Tesla Model 3 electric cars was spotted being tested in India, media reports said. The cars were spotted on the Mumbai-Pune Expressway this week with Maharashtra registration plates. Earlier, Tesla CEO Elon Musk had said that the firm wants to launch cars in India but India's import duties are the ""highest in the world"".",camouflage tesla model car find test india report duo camouflage tesla model electric car spot test india medium report say car spot mumbai pune expressway week maharashtra registration plate early tesla ceo elon musk say firm want launch car india india import duty high world
Facebook ties up with Indifi to offer loans to small businesses in India,"Facebook on Friday launched the 'Small Business Loan Initiative' with online lending platform Indifi to help small and medium businesses (SMBs) secure collateral-free loans in the range of ₹5-50 lakh. Facebook India MD Ajit Mohan said the company hopes growth in the sector would ""eventually benefit"" it since these SMBs ""will probably use our solutions"" like Instagram and WhatsApp. ",technology,"Facebook ties up with Indifi to offer loans to small businesses in India. Facebook on Friday launched the 'Small Business Loan Initiative' with online lending platform Indifi to help small and medium businesses (SMBs) secure collateral-free loans in the range of ₹5-50 lakh. Facebook India MD Ajit Mohan said the company hopes growth in the sector would ""eventually benefit"" it since these SMBs ""will probably use our solutions"" like Instagram and WhatsApp. ",facebook tie indifi offer loan small business india facebook friday launch small business loan initiative online lending platform indifi help small medium business smbs secure collateral free loan range lakh facebook india md ajit mohan say company hope growth sector would eventually benefit since smb probably use solution like instagram whatsapp
"Delhi approves 4,561 e-auto permits; 33% permits reserved for women","The Delhi Transport Department has approved the issuance of 4,561 permits for operating electric autorickshaws, 33% of which will be reserved for women applicants, a government official said. ""While male applicants will require public service vehicle (PSV) badges to apply for an e-auto permit, women can do so with an existing licence that applies to light vehicles,"" the official added.",technology,"Delhi approves 4,561 e-auto permits; 33% permits reserved for women. The Delhi Transport Department has approved the issuance of 4,561 permits for operating electric autorickshaws, 33% of which will be reserved for women applicants, a government official said. ""While male applicants will require public service vehicle (PSV) badges to apply for an e-auto permit, women can do so with an existing licence that applies to light vehicles,"" the official added.",delhi approve e auto permit permit reserve woman delhi transport department approve issuance permit operate electric autorickshaw reserve woman applicant government official say male applicant require public service vehicle psv badge apply e auto permit woman exist licence apply light vehicle official add
Palantir CEO gives ₹1.3 cr to US hermit whose cabin burned down,"US-based Palantir Technologies' billionaire CEO Alexander Karp has donated ₹1.3 crore ($180,000) to a New Hampshire hermit, David Lidstone, after the cabin he was living in burned down. Lidstone was jailed in July and accused of squatting for nearly 30 years on property owned by a Vermont man. His cabin burned down this month shortly before his release.",technology,"Palantir CEO gives ₹1.3 cr to US hermit whose cabin burned down. US-based Palantir Technologies' billionaire CEO Alexander Karp has donated ₹1.3 crore ($180,000) to a New Hampshire hermit, David Lidstone, after the cabin he was living in burned down. Lidstone was jailed in July and accused of squatting for nearly 30 years on property owned by a Vermont man. His cabin burned down this month shortly before his release.",palantir ceo give cr hermit whose cabin burn base palantir technology billionaire ceo alexander karp donate crore new hampshire hermit david lidstone cabin live burn lidstone jail july accuse squat nearly year property vermont man cabin burn month shortly release
OnlyFans to ban 'sexually explicit' content from October,"OnlyFans has announced that it will ban users from posting ""sexually explicit"" content starting October 1. Creators will be allowed to post content containing nudity as long as it remains consistent with the platform's Acceptable Use Policy. ""These changes are to comply with the requests of our banking partners and payout providers,"" the platform said.",technology,"OnlyFans to ban 'sexually explicit' content from October. OnlyFans has announced that it will ban users from posting ""sexually explicit"" content starting October 1. Creators will be allowed to post content containing nudity as long as it remains consistent with the platform's Acceptable Use Policy. ""These changes are to comply with the requests of our banking partners and payout providers,"" the platform said.",onlyfan ban sexually explicit content october onlyfan announce ban user post sexually explicit content start october creator allow post content contain nudity long remain consistent platform acceptable use policy change comply request banking partner payout provider platform say
"Clubhouse app hides Afghan users' pics, bios post Taliban takeover","US-based audio-only app Clubhouse has hidden its Afghan users' bios and photos, and made their accounts more difficult to discover in search after the Taliban takeover in Afghanistan. The platform said it has taken the measure for the users' safety. The actions won't affect the users' followers, and all of the changes can be reversed if a user prefers.",technology,"Clubhouse app hides Afghan users' pics, bios post Taliban takeover. US-based audio-only app Clubhouse has hidden its Afghan users' bios and photos, and made their accounts more difficult to discover in search after the Taliban takeover in Afghanistan. The platform said it has taken the measure for the users' safety. The actions won't affect the users' followers, and all of the changes can be reversed if a user prefers.",clubhouse app hide afghan user pic bio post taliban takeover base audio app clubhouse hide afghan user bio photo make account difficult discover search taliban takeover afghanistan platform say take measure user safety action wo nt affect user follower change reverse user prefer
Apple once tried to hire Google ex-search chief Ben Gomes: Report,"Apple once tried to hire former Google search chief Ben Gomes, who succeeded John Giannandrea, Bloomberg reported citing documents filed by US DOJ in an ongoing antitrust lawsuit against Google. Giannandrea joined Apple in 2018 as head of Siri and machine learning. The justice department has asked Apple to submit documents related to efforts to hire Gomes and Giannandrea.",technology,"Apple once tried to hire Google ex-search chief Ben Gomes: Report. Apple once tried to hire former Google search chief Ben Gomes, who succeeded John Giannandrea, Bloomberg reported citing documents filed by US DOJ in an ongoing antitrust lawsuit against Google. Giannandrea joined Apple in 2018 as head of Siri and machine learning. The justice department has asked Apple to submit documents related to efforts to hire Gomes and Giannandrea.",apple try hire google ex search chief ben gomes report apple try hire former google search chief ben gomes succeed john giannandrea bloomberg report cite document file us doj ongoing antitrust lawsuit google giannandrea join apple head siri machine learning justice department ask apple submit document relate effort hire gome giannandrea
Musk says 'Tesla Bot' will 'hopefully' be sent to Mars,"Tesla CEO Elon Musk has said that the firm's AI-powered humanoid robot for repetitive tasks, 'Tesla Bot', will ""hopefully"" be mass-produced and sent to Mars. He said this in response to a Twitter user who discussed requiring a lot of workforce for terraforming ""hostile worlds"". Tesla has said Tesla Bot's prototype will be ready next year. ",technology,"Musk says 'Tesla Bot' will 'hopefully' be sent to Mars. Tesla CEO Elon Musk has said that the firm's AI-powered humanoid robot for repetitive tasks, 'Tesla Bot', will ""hopefully"" be mass-produced and sent to Mars. He said this in response to a Twitter user who discussed requiring a lot of workforce for terraforming ""hostile worlds"". Tesla has said Tesla Bot's prototype will be ready next year. ",musk say tesla bot hopefully send mars tesla ceo elon musk say firm ai power humanoid robot repetitive task tesla bot hopefully mass produce send mars say response twitter user discuss require lot workforce terraforme hostile world tesla say tesla bot prototype ready next year
Google paid developers to keep them on Play Store: Epic filing,"Google approved spending ""hundreds of millions of dollars"", in 2019, on over 20 top developers in marketing and other benefits to keep them on the Play Store, a newly unredacted complaint from Fortnite-maker Epic Games alleged. It did so as part of an effort dubbed ""Project Hug"". The ""vast majority"" of targeted developers accepted Google's offer by December 2020.",technology,"Google paid developers to keep them on Play Store: Epic filing. Google approved spending ""hundreds of millions of dollars"", in 2019, on over 20 top developers in marketing and other benefits to keep them on the Play Store, a newly unredacted complaint from Fortnite-maker Epic Games alleged. It did so as part of an effort dubbed ""Project Hug"". The ""vast majority"" of targeted developers accepted Google's offer by December 2020.",google pay developer keep play store epic filing google approve spending hundred million dollar top developer marketing benefit keep play store newly unredacte complaint fortnite maker epic game allege part effort dub project hug vast majority target developer accept google offer december
"GM recalls additional 73,000 EVs in US, Canada due to fire risk","General Motors has expanded its recent recall of Chevrolet Bolt EVs, due to possible battery cell defects that could increase fire risk, to additional 73,018 vehicles in the US and Canada from the 2019-2022 model years. This recall is expected to cost GM an additional $1 billion on top of the $800 million it has already estimated for prior recalls.",technology,"GM recalls additional 73,000 EVs in US, Canada due to fire risk. General Motors has expanded its recent recall of Chevrolet Bolt EVs, due to possible battery cell defects that could increase fire risk, to additional 73,018 vehicles in the US and Canada from the 2019-2022 model years. This recall is expected to cost GM an additional $1 billion on top of the $800 million it has already estimated for prior recalls.",gm recall additional evs canada due fire risk general motors expand recent recall chevrolet bolt evs due possible battery cell defect could increase fire risk additional vehicle us canada model year recall expect cost gm additional billion top million already estimate prior recall
NVIDIA controlling ARM could create real issues for rivals: UK CMA,"UK competition watchdog CMA has said NVIDIA ""controlling"" ARM could create ""real problems"" for NVIDIA's rivals by limiting their access to key technologies, and ultimately stifling innovation across various markets. It has added that a more in-depth probe of ARM's $40 billion acquisition is warranted. NVIDIA said it's confident that the deal will benefit ARM, its licensees and the competition.",technology,"NVIDIA controlling ARM could create real issues for rivals: UK CMA. UK competition watchdog CMA has said NVIDIA ""controlling"" ARM could create ""real problems"" for NVIDIA's rivals by limiting their access to key technologies, and ultimately stifling innovation across various markets. It has added that a more in-depth probe of ARM's $40 billion acquisition is warranted. NVIDIA said it's confident that the deal will benefit ARM, its licensees and the competition.",nvidia control arm could create real issue rival uk cma uk competition watchdog cma say nvidia control arm could create real problem nvidia rival limit access key technology ultimately stifle innovation across various market add depth probe arm billion acquisition warrant nvidia say confident deal benefit arm licensee competition
Tesla unveils in-house chip to train AI models in its data centres,"Tesla has unveiled an in-house chip for training artificial intelligence networks in its data centres. The new Dojo D1 chipset, a part of Tesla's Dojo supercomputer system, uses a 7-nanometer manufacturing process, with 362 teraflops of processing power. The chip can help train models for recognising a variety of items from video feeds collected by cameras inside Tesla vehicles.",technology,"Tesla unveils in-house chip to train AI models in its data centres. Tesla has unveiled an in-house chip for training artificial intelligence networks in its data centres. The new Dojo D1 chipset, a part of Tesla's Dojo supercomputer system, uses a 7-nanometer manufacturing process, with 362 teraflops of processing power. The chip can help train models for recognising a variety of items from video feeds collected by cameras inside Tesla vehicles.",tesla unveil house chip train ai model data centre tesla unveil house chip train artificial intelligence network data centre new dojo chipset part tesla dojo supercomputer system use nanometer manufacturing process teraflop processing power chip help train model recognise variety item video feed collect camera inside tesla vehicle
Twitter faces claim it benefitted from child sex trafficking in US ,"A US court has allowed two men to proceed with a claim that Twitter benefitted from sex trafficking involving them as teenagers. The men allege they were solicited at age 13 for sex trafficking and manipulated into providing pornographic videos of themselves. Later, the links to the videos allegedly appeared on Twitter, which it refused to remove when first informed.",technology,"Twitter faces claim it benefitted from child sex trafficking in US . A US court has allowed two men to proceed with a claim that Twitter benefitted from sex trafficking involving them as teenagers. The men allege they were solicited at age 13 for sex trafficking and manipulated into providing pornographic videos of themselves. Later, the links to the videos allegedly appeared on Twitter, which it refused to remove when first informed.",twitter face claim benefit child sex trafficking us court allow two man proceed claim twitter benefit sex trafficking involve teenager man allege solicit age sex trafficking manipulate provide pornographic video later link video allegedly appear twitter refuse remove first inform
"Robbers track a man using an Apple Watch, rob him of $500,000 in cash in US","A group of robbers robbed a man of $500,000 in cash using an Apple Watch in US, the details of which were made public recently. The robbers had placed the Apple Watch under his car's bumper and tracked the victim to a hotel parking lot. Following this, they located his hotel room and managed to escape with the money.",world,"Robbers track a man using an Apple Watch, rob him of $500,000 in cash in US. A group of robbers robbed a man of $500,000 in cash using an Apple Watch in US, the details of which were made public recently. The robbers had placed the Apple Watch under his car's bumper and tracked the victim to a hotel parking lot. Following this, they located his hotel room and managed to escape with the money.",robber track man use apple watch rob cash group robber rob man cash use apple watch detail make public recently robber place apple watch car bumper track victim hotel parking lot follow locate hotel room manage escape money
87 Indians reach Delhi in Air India flight after being evacuated by IAF from Kabul,"A special Air India flight ferrying 87 Indians evacuated from Afghanistan landed in Delhi early on Sunday. The Indians were taken to Tajikistan’s capital of Dushanbe from Kabul on board a transport aircraft of the Indian Air Force (IAF) on Saturday. Two Nepalese nationals were also evacuated by the Indian authorities, the Ministry of External Affairs said.",world,"87 Indians reach Delhi in Air India flight after being evacuated by IAF from Kabul. A special Air India flight ferrying 87 Indians evacuated from Afghanistan landed in Delhi early on Sunday. The Indians were taken to Tajikistan’s capital of Dushanbe from Kabul on board a transport aircraft of the Indian Air Force (IAF) on Saturday. Two Nepalese nationals were also evacuated by the Indian authorities, the Ministry of External Affairs said.",indians reach delhi air india flight evacuate iaf kabul special air india flight ferrying indian evacuate afghanistan land delhi early sunday indians take tajikistan capital dushanbe kabul board transport aircraft indian air force iaf saturday two nepalese national also evacuate indian authority ministry external affair say
"Afghan Sikh MP breaks down on reaching India from Kabul, says 'Everything is finished'","Afghanistan's Sikh MP Narender Singh Khalsa broke down on reaching India after being evacuated from Kabul by the Indian Air Force. In a video shared by ANI, Khalsa says, ""Everything that was built in last 20 years is now finished. It's zero now."" He also thanked PM Narendra Modi, Indian government and Indian Air Force for members of his community.",world,"Afghan Sikh MP breaks down on reaching India from Kabul, says 'Everything is finished'. Afghanistan's Sikh MP Narender Singh Khalsa broke down on reaching India after being evacuated from Kabul by the Indian Air Force. In a video shared by ANI, Khalsa says, ""Everything that was built in last 20 years is now finished. It's zero now."" He also thanked PM Narendra Modi, Indian government and Indian Air Force for members of his community.",afghan sikh mp break reach india kabul say everything finish afghanistan sikh mp narender singh khalsa break reach india evacuate kabul indian air force video share ani khalsa say everything build last year finish zero also thank pm narendra modi indian government indian air force member community
India allowed to operate two flights daily to evacuate people from Kabul: Report,"India has been allowed to operate two flights per day from the Kabul airport to evacuate its nationals stranded in Afghanistan, government sources told ANI. The permission was granted by the American and North Atlantic Treaty Organization (NATO) forces. The two forces have been controlling the airport's operations since Taliban seized power in Afghanistan on August 15.",world,"India allowed to operate two flights daily to evacuate people from Kabul: Report. India has been allowed to operate two flights per day from the Kabul airport to evacuate its nationals stranded in Afghanistan, government sources told ANI. The permission was granted by the American and North Atlantic Treaty Organization (NATO) forces. The two forces have been controlling the airport's operations since Taliban seized power in Afghanistan on August 15.",india allow operate two flight daily evacuate people kabul report india allow operate two flight per day kabul airport evacuate national strand afghanistan government source tell ani permission grant american north atlantic treaty organization nato force two force control airport operation since taliban seize power afghanistan august
"168 passengers, including 107 Indians, land near Delhi after evacuation from Kabul ","Indian Air Force's C-17 aircraft that took off from Afghanistan's Kabul early Sunday morning has landed at Hindon IAF base in Ghaziabad. The aircraft carried 168 passengers, including 107 Indian nationals, according to Ministry of External Affairs (MEA) spokesperson Arindam Bagchi. Around 20 Afghan Sikhs and Hindus, including MP Narender Singh Khalsa, were also among the passengers.",world,"168 passengers, including 107 Indians, land near Delhi after evacuation from Kabul . Indian Air Force's C-17 aircraft that took off from Afghanistan's Kabul early Sunday morning has landed at Hindon IAF base in Ghaziabad. The aircraft carried 168 passengers, including 107 Indian nationals, according to Ministry of External Affairs (MEA) spokesperson Arindam Bagchi. Around 20 Afghan Sikhs and Hindus, including MP Narender Singh Khalsa, were also among the passengers.",passenger include indians land near delhi evacuation kabul indian air force c aircraft take afghanistan kabul early sunday morning land hindon iaf base ghaziabad aircraft carry passenger include indian national accord ministry external affair mea spokesperson arindam bagchi around afghan sikh hindus include mp narender singh khalsa also among passenger
Evacuated Indians from Kabul chant 'Bharat Mata Ki Jai' inside Air India flight,"Arindam Bagchi, the official spokesperson of Ministry of External Affairs, took to Twitter to share a video of Indians chanting 'Bharat Mata Ki Jai' inside the Air India aircraft after being evacuated from Kabul. ""Jubilant evacuees on their journey home!"" he captioned the video. India has evacuated around 300 people from Kabul in last 24 hours.",world,"Evacuated Indians from Kabul chant 'Bharat Mata Ki Jai' inside Air India flight. Arindam Bagchi, the official spokesperson of Ministry of External Affairs, took to Twitter to share a video of Indians chanting 'Bharat Mata Ki Jai' inside the Air India aircraft after being evacuated from Kabul. ""Jubilant evacuees on their journey home!"" he captioned the video. India has evacuated around 300 people from Kabul in last 24 hours.",evacuate indians kabul chant bharat mata ki jai inside air india flight arindam bagchi official spokesperson ministry external affair take twitter share video indians chant bharat mata ki jai inside air india aircraft evacuate kabul jubilant evacuee journey home caption video india evacuate around people kabul last hour
Pakistan's interest in Afghanistan is to counter Indian influence: US govt report,"Pakistan's ""strategic security objectives"" in Afghanistan are to counter Indian influence and mitigate ""spillover into the Pakistani territory"", a US government report has said. ""Pakistan continues to support peace talks while maintaining ties with the Afghan Taliban,"" said the report. Pakistan is concerned that the Afghan civil war would have ""destabilising effects"" on it, the report added.",world,"Pakistan's interest in Afghanistan is to counter Indian influence: US govt report. Pakistan's ""strategic security objectives"" in Afghanistan are to counter Indian influence and mitigate ""spillover into the Pakistani territory"", a US government report has said. ""Pakistan continues to support peace talks while maintaining ties with the Afghan Taliban,"" said the report. Pakistan is concerned that the Afghan civil war would have ""destabilising effects"" on it, the report added.",pakistan interest afghanistan counter indian influence us govt report pakistan strategic security objective afghanistan counter indian influence mitigate spillover pakistani territory us government report say pakistan continue support peace talk maintain tie afghan taliban say report pakistan concerned afghan civil war would destabilising effect report add
Taliban burnt down my house: Afghan national evacuated by IAF from Kabul,"An Indian Air Force (IAF) aircraft, ferrying 168 passengers from Afghanistan's Kabul, landed in Ghaziabad on Sunday. After reaching the Hindon IAF base, an Afghan national said, ""The situation was deteriorating in Afghanistan, so I came here with my daughter and two grandchildren. They (Taliban) burnt down my house."" ""Our Indian brothers and sisters came to our rescue,"" she added.",world,"Taliban burnt down my house: Afghan national evacuated by IAF from Kabul. An Indian Air Force (IAF) aircraft, ferrying 168 passengers from Afghanistan's Kabul, landed in Ghaziabad on Sunday. After reaching the Hindon IAF base, an Afghan national said, ""The situation was deteriorating in Afghanistan, so I came here with my daughter and two grandchildren. They (Taliban) burnt down my house."" ""Our Indian brothers and sisters came to our rescue,"" she added.",taliban burn house afghan national evacuate iaf kabul indian air force iaf aircraft ferry passenger afghanistan kabul land ghaziabad sunday reach hindon iaf base afghan national say situation deteriorate afghanistan I come daughter two grandchild taliban burn house indian brother sister come rescue add
4 women crushed to death as thousands try to enter Kabul airport: Reports,"As thousands of people tried to rush through to enter Kabul airport, at least four women at the front of the queue were crushed to death, reports said. Several people were left injured and were seen sitting among piles of papers and discarded clothes, reports added. At least 15 people have been killed around the airport since August 15.",world,"4 women crushed to death as thousands try to enter Kabul airport: Reports. As thousands of people tried to rush through to enter Kabul airport, at least four women at the front of the queue were crushed to death, reports said. Several people were left injured and were seen sitting among piles of papers and discarded clothes, reports added. At least 15 people have been killed around the airport since August 15.",woman crush death thousand try enter kabul airport report thousand people try rush enter kabul airport least four woman front queue crush death report say several people leave injured see sit among pile paper discard clothe report add least people kill around airport since august
Afghan school founder burns girl students' records to 'protect them'; shares video,"Shabana Basij-Rasikh, the founder of the only boarding school for girls in Afghanistan, tweeted a video showing her burning her students' records. ""As the founder of the only all-girls boarding school in Afghanistan, I'm burning my students' records not to erase them, but to protect them and their families,"" she tweeted. This comes after Taliban seized control in the country.",world,"Afghan school founder burns girl students' records to 'protect them'; shares video. Shabana Basij-Rasikh, the founder of the only boarding school for girls in Afghanistan, tweeted a video showing her burning her students' records. ""As the founder of the only all-girls boarding school in Afghanistan, I'm burning my students' records not to erase them, but to protect them and their families,"" she tweeted. This comes after Taliban seized control in the country.",afghan school founder burn girl student record protect share video shabana basij rasikh founder boarding school girl afghanistan tweet video show burn student record founder girl boarding school afghanistan I burn student record not erase protect family tweet come taliban seize control country
"Pakistan seminary students sing 'Salaam Taliban', celebrate Afghanistan takeover","Jamia Hafsa, a seminary in Pakistan's Islamabad, hoisted Taliban flags on its rooftop and organised an event to celebrate the group's takeover of Afghanistan. In a video that surfaced on social media, students studying in the seminary linked to Lal Masjid were also seen singing a song 'Salaam Taliban' in praise of Taliban. Several Afghans criticised the video on Twitter.",world,"Pakistan seminary students sing 'Salaam Taliban', celebrate Afghanistan takeover. Jamia Hafsa, a seminary in Pakistan's Islamabad, hoisted Taliban flags on its rooftop and organised an event to celebrate the group's takeover of Afghanistan. In a video that surfaced on social media, students studying in the seminary linked to Lal Masjid were also seen singing a song 'Salaam Taliban' in praise of Taliban. Several Afghans criticised the video on Twitter.",pakistan seminary student sing salaam taliban celebrate afghanistan takeover jamia hafsa seminary pakistan islamabad hoist taliban flag rooftop organise event celebrate group takeover afghanistan video surface social medium student study seminary link lal masjid also see singe song salaam taliban praise taliban several afghan criticise video twitter
"Video shows Afghan woman crying for help from US soldiers, says 'Taliban coming for me'","A video showing an Afghan woman crying and pleading for help from US soldiers at Kabul airport is being widely shared on social media. The video shows the woman standing behind barriers and yelling, ""Help, help. I want to help family. Taliban coming for me."" Thousands of people have gathered at the airport in order to escape from Afghanistan.",world,"Video shows Afghan woman crying for help from US soldiers, says 'Taliban coming for me'. A video showing an Afghan woman crying and pleading for help from US soldiers at Kabul airport is being widely shared on social media. The video shows the woman standing behind barriers and yelling, ""Help, help. I want to help family. Taliban coming for me."" Thousands of people have gathered at the airport in order to escape from Afghanistan.",video show afghan woman cry help us soldier say taliban come I video show afghan woman cry plead help soldier kabul airport widely share social medium video show woman stand behind barrier yell help help I want help family taliban come I thousand people gather airport order escape afghanistan
Not a single euro will go to Afghan Taliban if it denies rights to women: EU,"Not a ""single euro of development aid can go to a regime that denies women and girls their full freedoms"", European Commission President Ursula von der Leyen said. She was reacting to reports of women being turned away from workplaces in Afghanistan under Taliban's regime. The development funds are tied to ""strict conditions"" including respect for human rights, she said.",world,"Not a single euro will go to Afghan Taliban if it denies rights to women: EU. Not a ""single euro of development aid can go to a regime that denies women and girls their full freedoms"", European Commission President Ursula von der Leyen said. She was reacting to reports of women being turned away from workplaces in Afghanistan under Taliban's regime. The development funds are tied to ""strict conditions"" including respect for human rights, she said.",not single euro go afghan taliban deny right woman eu not single euro development aid go regime deny woman girl full freedom european commission president ursula von der leyen say react report woman turn away workplace afghanistan taliban regime development fund tie strict condition include respect human right say
"Christian Afghan man skinned alive, hung on a pole by Taliban: US politician","US politician Mark Walker has alleged that a Christian Afghan man was skinned alive and hung on a pole by Taliban. He said pastors in Afghanistan are trying to reach out to people but are worried. ""Pastors, bishops...please set aside five minutes in your weekend worship services to pray for Afghan people. The situation is dire,"" he has tweeted.",world,"Christian Afghan man skinned alive, hung on a pole by Taliban: US politician. US politician Mark Walker has alleged that a Christian Afghan man was skinned alive and hung on a pole by Taliban. He said pastors in Afghanistan are trying to reach out to people but are worried. ""Pastors, bishops...please set aside five minutes in your weekend worship services to pray for Afghan people. The situation is dire,"" he has tweeted.",christian afghan man skin alive hang pole taliban us politician us politician mark walker allege christian afghan man skin alive hang pole taliban say pastor afghanistan try reach people worried pastor bishop please set aside five minute weekend worship service pray afghan people situation dire tweet
Which countries are willing to accept Afghan refugees amid Taliban crisis?,"After the Taliban seized control of Afghanistan, thousands of its citizens have sought to flee and several countries have announced their intentions to resettle Afghan refugees. US said it will repatriate those who helped its forces, while UK said it'll resettle 5,000 'at-risk' Afghan nationals. Canada has promised to accept 20,000 refugees while Albania said it'll shelter hundreds of Afghans.",world,"Which countries are willing to accept Afghan refugees amid Taliban crisis?. After the Taliban seized control of Afghanistan, thousands of its citizens have sought to flee and several countries have announced their intentions to resettle Afghan refugees. US said it will repatriate those who helped its forces, while UK said it'll resettle 5,000 'at-risk' Afghan nationals. Canada has promised to accept 20,000 refugees while Albania said it'll shelter hundreds of Afghans.",country willing accept afghan refugee amid taliban crisis taliban seize control afghanistan thousand citizen seek flee several country announce intention resettle afghan refugee say repatriate help force uk say resettle risk afghan national canada promise accept refugee albania say shelter hundred afghan
Turkish army takes care of 2-month-old separated from mother in Kabul; video viral,"A viral video has shown a two-month-old baby girl, who reportedly got separated from her mother at Kabul airport as people attempted to flee Afghanistan, being taken care of by Turkish soldiers. Soldiers are seen trying to pacify the crying infant and later handing her over to her father. US had earlier shared pictures of its soldiers comforting infants there.",world,"Turkish army takes care of 2-month-old separated from mother in Kabul; video viral. A viral video has shown a two-month-old baby girl, who reportedly got separated from her mother at Kabul airport as people attempted to flee Afghanistan, being taken care of by Turkish soldiers. Soldiers are seen trying to pacify the crying infant and later handing her over to her father. US had earlier shared pictures of its soldiers comforting infants there.",turkish army take care month old separate mother kabul video viral viral video show two month old baby girl reportedly got separate mother kabul airport people attempt flee afghanistan take care turkish soldier soldier see try pacify cry infant later hand father early share picture soldier comfort infant
